x,y,FB_para
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
1,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
1,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
1,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
1,20,1
0,20,1
0,20,1
0,20,1
1,20,1
0,20,1
0,20,1
0,20,1
1,20,1
0,20,1
0,20,1
0,20,1
0,20,1
1,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
1,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
-1,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
-1,20,1
-1,20,1
-1,20,1
-1,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
-1,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
-1,20,1
-1,20,1
-1,20,1
-1,20,1
-1,20,1
-1,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
-1,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
0,20,1
